date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:46:04	633/633	---MCZ	200	added ('OK')	text/plain	date:Wed,%2011%20Mar%202026%2002:46:04%20GMT	https://insure-withus.co.kr/robots.txt		(from )
11:46:05	36244/36244	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Mar%202026%2002:46:04%20GMT	https://insure-withus.co.kr/partchildt01-01/	C:/My%20Web%20Sites/childbirth/insure-withus.co.kr/partchildt01-01/index.html	(from )
11:46:05	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Jan%202026%2000:35:56%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/childbirth/unpkg.com/aos@2.3.1/dist/aos.css	(from https://insure-withus.co.kr/partchildt01-01/)
11:46:05	4857/4857	---M-Z	200	added ('OK')	text/css	etag:W/%2212f9-Uz3L/qvlUjIDSEa68QW5a8oNVcY%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css	(from https://insure-withus.co.kr/partchildt01-01/)
11:46:05	716/716	---M-Z	200	added ('OK')	text/javascript	etag:%222cc-6364f46bd7b75-gzip%22	https://insure-withus.co.kr/validator.js	C:/My%20Web%20Sites/childbirth/insure-withus.co.kr/validator.js	(from https://insure-withus.co.kr/partchildt01-01/)
11:46:06	7791/7791	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Mar%202026%2002:46:06%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/My%20Web%20Sites/childbirth/analytics.tiktok.com/i18n/pixel/events.js	(from https://insure-withus.co.kr/partchildt01-01/)
11:46:06	14239/14239	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Feb%202026%2000:11:10%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/childbirth/unpkg.com/aos@2.3.1/dist/aos.js	(from https://insure-withus.co.kr/partchildt01-01/)
11:46:06	162532/162532	---M--	200	added ('OK')	font/woff2	etag:W/%2227ae4-tFPNJd86ODE9UIxALwy5Pkw6P3c%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.woff2	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.woff2	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:07	270076/270076	---M--	200	added ('OK')	font/woff	etag:W/%2241efc-5tbZo9zhBwBXYrLb+nyfCauV1Nc%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.woff	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.woff	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:08	1005572/1005572	---M-Z	200	added ('OK')	font/otf	etag:W/%22f5804-dyiyGupR+bnElfF5KCMkT+gdS38%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.otf	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.otf	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:08	683476/683476	---M-Z	200	added ('OK')	font/ttf	etag:W/%22a6dd4-Aosp+uIFzHkF2K+2w+c7NO3JMHI%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.ttf	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-1Thin.ttf	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:08	159032/159032	---M--	200	added ('OK')	font/woff2	etag:W/%2226d38-dxn9KHLNoxlgo0hugrTBNRl5Ync%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.woff2	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.woff2	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:08	266128/266128	---M--	200	added ('OK')	font/woff	etag:W/%2240f90-ivKyGYOGWjDF1XEPeJJq8V/8dtM%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.woff	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.woff	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:09	985984/985984	---M-Z	200	added ('OK')	font/otf	etag:W/%22f0b80-vxKqo7kqtxZDkimh66N1N069//c%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.otf	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-2ExtraLight.otf	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
11:46:10	162424/162424	---M--	200	added ('OK')	font/woff2	etag:W/%2227a78-qFdDC/UjK3gnFUzq0ZR6WsG3Om4%22	https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-3Light.woff2	C:/My%20Web%20Sites/childbirth/cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy-3Light.woff2	(from https://cdn.jsdelivr.net/gh/fonts-archive/Paperlogy/Paperlogy.css)
